Регион,Нацпроект,Назначено,Исполнено,Процент исполнения
Амурская область,"Национальный проект ""Беспилотные авиационные системы""",9,0,0.0
Амурская область,"Национальный проект ""Продолжительная и активная жизнь""",1881.91,1052.26,55.91
Амурская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",314.53,0,0.0
Амурская область,"Национальный проект ""Инфраструктура для жизни""",9181.17,2886.93,31.44
Амурская область,"Национальный проект ""Кадры""",310.64,53.44,17.2
Амурская область,"Национальный проект ""Туризм и гостеприимство""",51.99,0,0.0
Амурская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Амурская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Амурская область,"Национальный проект ""Экологическое благополучие""",73.11,0.54,0.74
Амурская область,"Национальный проект ""Эффективная и конкурентная экономика""",64.17,32.41,50.51
Амурская область,"ациональный проект ""Молодежь и дети""",3103.18,734.56,23.67
Амурская область,"Национальный проект ""Семья""",5095.93,1011.47,19.85
Республика Бурятия,Всего в рамках национальных проектов,18754.14,1532.94,8.17
Республика Бурятия,"Национальный проект ""Образование""",-,-,0.0
Республика Бурятия,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Бурятия,"Национальный проект ""Экология""",-,-,0.0
Республика Бурятия,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Бурятия,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Бурятия,"Национальный проект ""Производительность труда""",-,-,0.0
Республика Бурятия,"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Бурятия,"Национальный проект ""Демография""",-,-,0.0
Республика Бурятия,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Бурятия,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Бурятия,"Национальный проект ""Беспилотные авиационные системы""",58.67,0,0.0
Республика Бурятия,"Национальный проект ""Продолжительная и активная жизнь""",2053.25,173.09,8.43
Республика Бурятия,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",67.26,0,0.0
Республика Бурятия,"Национальный проект ""Инфраструктура для жизни""",9120.07,603.71,6.62
Республика Бурятия,"Национальный проект ""Кадры""",68.68,0,0.0
Республика Бурятия,"Национальный проект ""Туризм и гостеприимство""",349.32,0,0.0
Республика Бурятия,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Бурятия,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Республика Бурятия,"Национальный проект ""Экологическое благополучие""",2166.25,0,0.0
Республика Бурятия,"Национальный проект ""Эффективная и конкурентная экономика""",30.87,0,0.0
Республика Бурятия,"ациональный проект ""Молодежь и дети""",2763.66,414.22,14.99
Республика Бурятия,"Национальный проект ""Семья""",2076.12,341.92,16.47
Магаданская область,Всего в рамках национальных проектов,5445.26,549.92,10.1
Магаданская область,"Национальный проект ""Образование""",-,-,0.0
Магаданская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Магаданская область,"Национальный проект ""Экология""",-,-,0.0
Магаданская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Магаданская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Магаданская область,"Национальный проект ""Производительность труда""",-,-,0.0
Магаданская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Магаданская область,"Национальный проект ""Демография""",-,-,0.0
Магаданская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Магаданская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Магаданская область,"Национальный проект ""Беспилотные авиационные системы""",6,0,0.0
Магаданская область,"Национальный проект ""Продолжительная и активная жизнь""",1356.62,143.79,10.6
Магаданская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Магаданская область,"Национальный проект ""Инфраструктура для жизни""",2267.91,118.1,5.21
Магаданская область,"Национальный проект ""Кадры""",175.81,0.06,0.03
Магаданская область,"Национальный проект ""Туризм и гостеприимство""",30.61,0,0.0
Магаданская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Магаданская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Магаданская область,"Национальный проект ""Экологическое благополучие""",0.61,0,0.0
Магаданская область,"Национальный проект ""Эффективная и конкурентная экономика""",-,-,0.0
Магаданская область,"ациональный проект ""Молодежь и дети""",821.98,132.65,16.14
Магаданская область,"Национальный проект ""Семья""",785.73,155.32,19.77
Сахалинская область,Всего в рамках национальных проектов,21815.29,1404.73,6.44
Сахалинская область,"Национальный проект ""Образование""",-,-,0.0
Сахалинская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Сахалинская область,"Национальный проект ""Экология""",-,-,0.0
Сахалинская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Сахалинская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Сахалинская область,"Национальный проект ""Производительность труда""",-,-,0.0
Сахалинская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Сахалинская область,"Национальный проект ""Демография""",-,-,0.0
Сахалинская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Сахалинская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Сахалинская область,"Национальный проект ""Беспилотные авиационные системы""",12.75,0,0.0
Сахалинская область,"Национальный проект ""Продолжительная и активная жизнь""",1470.7,344.01,23.39
Сахалинская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Сахалинская область,"Национальный проект ""Инфраструктура для жизни""",8671.05,434.54,5.01
Сахалинская область,"Национальный проект ""Кадры""",30,2,6.67
Сахалинская область,"Национальный проект ""Туризм и гостеприимство""",-,-,0.0
Сахалинская область,"Национальный проект ""Эффективная транспортная система""",4942.56,97.95,1.98
Сахалинская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Сахалинская область,"Национальный проект ""Экологическое благополучие""",151.27,0,0.0
Сахалинская область,"Национальный проект ""Эффективная и конкурентная экономика""",21.76,0,0.0
Сахалинская область,"ациональный проект ""Молодежь и дети""",5600.06,260.59,4.65
Сахалинская область,"Национальный проект ""Семья""",915.13,265.64,29.03
Еврейская автономная область,Всего в рамках национальных проектов,4466.81,337.65,7.56
Еврейская автономная область,"Национальный проект ""Образование""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Экология""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Производительность труда""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Здравоохранение""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Демография""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Беспилотные авиационные системы""",5.25,0,0.0
Еврейская автономная область,"Национальный проект ""Продолжительная и активная жизнь""",371.03,20.27,5.46
Еврейская автономная область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",0.91,0,0.0
Еврейская автономная область,"Национальный проект ""Инфраструктура для жизни""",2238.77,165.62,7.4
Еврейская автономная область,"Национальный проект ""Кадры""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Туризм и гостеприимство""",30.3,0,0.0
Еврейская автономная область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Еврейская автономная область,"Национальный проект ""Экологическое благополучие""",6.27,0,0.0
Еврейская автономная область,"Национальный проект ""Эффективная и конкурентная экономика""",6.4,0,0.0
Еврейская автономная область,"ациональный проект ""Молодежь и дети""",1236.44,71.11,5.75
Еврейская автономная область,"Национальный проект ""Семья""",571.44,80.65,14.11
Чукотский автономный округ,Всего в рамках национальных проектов,5190.19,865.47,16.68
Чукотский автономный округ,"Национальный проект ""Образование""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Экология""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Производительность труда""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Здравоохранение""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Демография""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Беспилотные авиационные системы""",2.1,0,0.0
Чукотский автономный округ,"Национальный проект ""Продолжительная и активная жизнь""",1096.83,341.57,31.14
Чукотский автономный округ,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",0.45,0,0.0
Чукотский автономный округ,"Национальный проект ""Инфраструктура для жизни""",3039.13,393.94,12.96
Чукотский автономный округ,"Национальный проект ""Кадры""",27,0,0.0
Чукотский автономный округ,"Национальный проект ""Туризм и гостеприимство""",30.3,0,0.0
Чукотский автономный округ,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Экологическое благополучие""",-,-,0.0
Чукотский автономный округ,"Национальный проект ""Эффективная и конкурентная экономика""",4.43,0,0.0
Чукотский автономный округ,"ациональный проект ""Молодежь и дети""",462.56,61.51,13.3
Чукотский автономный округ,"Национальный проект ""Семья""",527.39,68.46,12.98
Приволжский федеральный округ,Всего в рамках национальных проектов,358397.8,66726.34,18.62
Приволжский федеральный округ,"Национальный проект ""Образование""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Жилье и городская среда""",582.66,160.44,27.54
Приволжский федеральный округ,"Национальный проект ""Экология""",136.94,9.24,6.75
Приволжский федеральный округ,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Туризм и индустрия гостеприимства""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Производительность труда""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Здравоохранение""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Демография""",10.72,10.72,100.0
Приволжский федеральный округ,"Национальный проект ""Безопасные качественные дороги""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Международная кооперация и экспорт""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Беспилотные авиационные системы""",3166.71,106.3,3.36
Приволжский федеральный округ,"Национальный проект ""Продолжительная и активная жизнь""",46302.8,10799.14,23.32
Приволжский федеральный округ,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",2343.2,0,0.0
Приволжский федеральный округ,"Национальный проект ""Инфраструктура для жизни""",164180.23,31328.43,19.08
Приволжский федеральный округ,"Национальный проект ""Кадры""",1942.3,0.5,0.03
Приволжский федеральный округ,"Национальный проект ""Туризм и гостеприимство""",2287.01,183.78,8.04
Приволжский федеральный округ,"Национальный проект ""Эффективная транспортная система""",,,0.0
Приволжский федеральный округ,"Национальный проект ""Экономика данных и цифровая трансформация государства""",943.56,10.36,1.1
Приволжский федеральный округ,"Национальный проект ""Экологическое благополучие""",2147.11,220.81,10.28
Приволжский федеральный округ,"Национальный проект ""Эффективная и конкурентная экономика""",567.92,309.25,54.45
Приволжский федеральный округ,"ациональный проект ""Молодежь и дети""",71903.83,11433.26,15.9
Приволжский федеральный округ,"Национальный проект ""Семья""",61882.81,12154.12,19.64
Республика Марий Эл,Всего в рамках национальных проектов,11219.85,1969.99,17.56
Республика Марий Эл,"Национальный проект ""Образование""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Экология""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Производительность труда""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Демография""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Беспилотные авиационные системы""",12,9,75.0
Республика Марий Эл,"Национальный проект ""Продолжительная и активная жизнь""",811.4,129.9,16.01
Республика Марий Эл,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",6.17,0,0.0
Республика Марий Эл,"Национальный проект ""Инфраструктура для жизни""",4866.93,857.22,17.61
Республика Марий Эл,"Национальный проект ""Кадры""",7.45,0,0.0
Республика Марий Эл,"Национальный проект ""Туризм и гостеприимство""",44.45,0,0.0
Республика Марий Эл,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Республика Марий Эл,"Национальный проект ""Экологическое благополучие""",4,0,0.0
Республика Марий Эл,"Национальный проект ""Эффективная и конкурентная экономика""",36.45,10.78,29.59
Республика Марий Эл,"ациональный проект ""Молодежь и дети""",2358.37,446.64,18.94
Республика Марий Эл,"Национальный проект ""Семья""",3072.64,516.45,16.81
Республика Мордовия,Всего в рамках национальных проектов,13237.78,3401.17,25.69
Республика Мордовия,"Национальный проект ""Образование""",-,-,0.0
Республика Мордовия,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Мордовия,"Национальный проект ""Экология""",-,-,0.0
Республика Мордовия,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Мордовия,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Мордовия,"Национальный проект ""Производительность труда""",-,-,0.0
Республика Мордовия,"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Мордовия,"Национальный проект ""Демография""",-,-,0.0
Республика Мордовия,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Мордовия,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Мордовия,"Национальный проект ""Беспилотные авиационные системы""",7.5,0,0.0
Республика Мордовия,"Национальный проект ""Продолжительная и активная жизнь""",997.69,434.19,43.52
Республика Мордовия,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",8.24,0,0.0
Республика Мордовия,"Национальный проект ""Инфраструктура для жизни""",7134.62,2212.07,31.0
Республика Мордовия,"Национальный проект ""Кадры""",24.24,0.28,1.15
Республика Мордовия,"Национальный проект ""Туризм и гостеприимство""",37.49,0,0.0
Республика Мордовия,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Мордовия,"Национальный проект ""Экономика данных и цифровая трансформация государства""",46.94,10.36,22.07
Республика Мордовия,"Национальный проект ""Экологическое благополучие""",29.99,2.49,8.31
Республика Мордовия,"Национальный проект ""Эффективная и конкурентная экономика""",21.5,0,0.0
Республика Мордовия,"ациональный проект ""Молодежь и дети""",2265.26,167.06,7.37
Республика Мордовия,"Национальный проект ""Семья""",2664.31,574.73,21.57
Республика Татарстан (Татарстан),Всего в рамках национальных проектов,44631.13,4792.85,10.74
Республика Татарстан (Татарстан),"Национальный проект ""Образование""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Экология""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Производительность труда""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Демография""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Беспилотные авиационные системы""",1768.26,21,1.19
Республика Татарстан (Татарстан),"Национальный проект ""Продолжительная и активная жизнь""",4266.85,131.08,3.07
Республика Татарстан (Татарстан),"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",804.55,0,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Инфраструктура для жизни""",13991.64,0,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Кадры""",872.8,0,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Туризм и гостеприимство""",279.55,0,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.01,0,0.0
Республика Татарстан (Татарстан),"Национальный проект ""Экологическое благополучие""",1175.85,60.05,5.11
Республика Татарстан (Татарстан),"Национальный проект ""Эффективная и конкурентная экономика""",120.89,120.89,100.0
Республика Татарстан (Татарстан),"ациональный проект ""Молодежь и дети""",5730.16,914.21,15.95
Республика Татарстан (Татарстан),"Национальный проект ""Семья""",15607.57,3545.61,22.72
Удмуртская Республика,Всего в рамках национальных проектов,16904.38,4095.34,24.23
Удмуртская Республика,"Национальный проект ""Образование""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Экология""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Производительность труда""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Здравоохранение""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Демография""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Беспилотные авиационные системы""",18,0,0.0
Удмуртская Республика,"Национальный проект ""Продолжительная и активная жизнь""",3048.41,819.48,26.88
Удмуртская Республика,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",195.25,0,0.0
Удмуртская Республика,"Национальный проект ""Инфраструктура для жизни""",8180.31,2212.8,27.05
Удмуртская Республика,"Национальный проект ""Кадры""",13.79,0,0.0
Удмуртская Республика,"Национальный проект ""Туризм и гостеприимство""",61.31,0,0.0
Удмуртская Республика,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Удмуртская Республика,"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.01,0,0.0
Удмуртская Республика,"Национальный проект ""Экологическое благополучие""",51.81,20,38.6
Удмуртская Республика,"Национальный проект ""Эффективная и конкурентная экономика""",46.9,28.28,60.3
Удмуртская Республика,"ациональный проект ""Молодежь и дети""",3047.3,632.52,20.76
Удмуртская Республика,"Национальный проект ""Семья""",2228.3,382.26,17.15
Чувашская Республика-Чувашия,Всего в рамках национальных проектов,14710.28,1289.36,8.77
Чувашская Республика-Чувашия,"Национальный проект ""Образование""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Экология""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Производительность труда""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Здравоохранение""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Демография""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Беспилотные авиационные системы""",12.75,0,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Продолжительная и активная жизнь""",1901.44,118.33,6.22
Чувашская Республика-Чувашия,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",64.3,0,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Инфраструктура для жизни""",6408.11,474.72,7.41
Чувашская Республика-Чувашия,"Национальный проект ""Кадры""",29.98,0,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Туризм и гостеприимство""",88.66,0,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Экономика данных и цифровая трансформация государства""",22.08,0,0.0
Чувашская Республика-Чувашия,"Национальный проект ""Экологическое благополучие""",14.55,3.64,25.0
Чувашская Республика-Чувашия,"Национальный проект ""Эффективная и конкурентная экономика""",54.3,2.42,4.45
Чувашская Республика-Чувашия,"ациональный проект ""Молодежь и дети""",3834.44,279.36,7.29
Чувашская Республика-Чувашия,"Национальный проект ""Семья""",2279.67,410.88,18.02
Пермский край,Всего в рамках национальных проектов,36381.08,6992.51,19.22
Пермский край,"Национальный проект ""Образование""",-,-,0.0
Пермский край,"Национальный проект ""Жилье и городская среда""",425.35,159.63,37.53
Пермский край,"Национальный проект ""Экология""",-,-,0.0
Пермский край,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Пермский край,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Пермский край,"Национальный проект ""Производительность труда""",-,-,0.0
Пермский край,"Национальный проект ""Здравоохранение""",-,-,0.0
Пермский край,"Национальный проект ""Демография""",-,-,0.0
Пермский край,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Пермский край,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Пермский край,"Национальный проект ""Беспилотные авиационные системы""",595.38,0,0.0
Пермский край,"Национальный проект ""Продолжительная и активная жизнь""",3620.21,632.62,17.47
Пермский край,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",21.16,0,0.0
Пермский край,"Национальный проект ""Инфраструктура для жизни""",16234.57,3113.88,19.18
Пермский край,"Национальный проект ""Кадры""",76.88,0,0.0
Пермский край,"Национальный проект ""Туризм и гостеприимство""",666.56,183.78,27.57
Пермский край,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Пермский край,"Национальный проект ""Экономика данных и цифровая трансформация государства""",333.42,0,0.0
Пермский край,"Национальный проект ""Экологическое благополучие""",51.9,12.87,24.8
Пермский край,"Национальный проект ""Эффективная и конкурентная экономика""",33.85,8.46,25.0
Пермский край,"ациональный проект ""Молодежь и дети""",4636.14,804.98,17.36
Пермский край,"Национальный проект ""Семья""",9685.66,2076.29,21.44
Республика Башкортостан,Всего в рамках национальных проектов,41426.9,5816.7,14.04
Республика Башкортостан,"Национальный проект ""Образование""",-,-,0.0
Республика Башкортостан,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Башкортостан,"Национальный проект ""Экология""",-,-,0.0
Республика Башкортостан,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
